Protein.Group,Markers,markers
P60335,unknown,unknown
P60335;Q61990,unknown,unknown
P60487,unknown,unknown
P60521,unknown,unknown
P60603,unknown,unknown
P60670,unknown,unknown
P60710;P63260,unknown,unknown
P60766,unknown,unknown
P60766;P63001;P84096;Q05144;Q8R527,unknown,unknown
P60824,unknown,unknown
P60840,unknown,unknown
P60843,unknown,unknown
P60867,RCX_2,RCX_2
P60904,unknown,unknown
P61014,unknown,unknown
P61021,unknown,unknown
P61022,unknown,unknown
P61027,unknown,unknown
P61028,unknown,unknown
P61080,unknown,unknown
P61082,unknown,unknown
P61087,unknown,unknown
P61089,unknown,unknown
P61148,unknown,unknown
P61161,unknown,unknown
P61164,unknown,unknown
P61164;Q8R5C5,unknown,unknown
P61202,unknown,unknown
P61205;P84078,unknown,unknown
P61211,unknown,unknown
P61222,unknown,unknown
P61226,unknown,unknown
P61226;Q80ZJ1;Q8BU31,unknown,unknown
P61255,RCX_1,RCX_1
P61290,unknown,unknown
P61358,RCX_1,RCX_1
P61514,RCX_1,RCX_1
P61600,unknown,unknown
P61620,unknown,unknown
P61750,unknown,unknown
P61750;P84084,unknown,unknown
P61750;P84084;Q8BSL7,unknown,unknown
P61759,unknown,unknown
P61804,unknown,unknown
P61922,MITO_2,MITO_2
P61924,unknown,unknown
P61953,unknown,unknown
